# Dados das feedback do usuario sobre os objetos de aprendizagem
# Avaliação 1=> Objeto compreende as competencias que se propos
# Avaliação 5=> Objeto não atinge as competencias propostas.
1	16
2	8
3	6
4	13
5	17
